"","neigborhood","ndvi_mean","temp_mean","median_inc","crime_percapita","crime_total","diversity_index","pct_black","pct_white","pct_latino","pct_homeowner","pct_single_parent","pop_density"
"190","Rowland Heights",0.143574311,36.79135105,72638,8.8,42,0.632,0.02,0.16,0.27,0.67,0.09,"3,604"
"191","San Dimas",0.155876165,36.11988103,84953,5.7,20,0.565,0.03,0.61,0.24,0.74,0.1,"2,244"
"192","San Fernando",0.11503368,40.07780583,54068,NA,NA,0.192,0.01,0.08,0.9,0.54,0.15,"9,856"
"193","San Gabriel",0.13939973,37.78840417,56687,NA,NA,0.637,0.01,0.17,0.3,0.48,0.13,"9,433"
"194","San Marino",0.219147534,33.95307166,158855,NA,NA,0.584,0.01,0.44,0.05,0.92,0.05,"3,428"
"195","San Pasqual",0.183417147,35.99592769,92917,0,0,0.601,0.03,0.58,0.18,0.62,0.04,"8,036"
"196","San Pedro",0.101243683,34.14840407,57508,22.1,190,0.63,0.06,0.44,0.41,0.44,0.18,"6,640"
"197","Santa Clarita",0.151995695,39.77796719,88987,3.9,62,0.479,0.02,0.69,0.21,0.73,0.12,"2,745"
"198","Santa Fe Springs",0.073713364,38.45575489,60445,NA,NA,0.448,0.03,0.19,0.72,0.63,0.13,"2,014"
"199","Santa Monica",0.127257387,33.31465294,69013,NA,NA,0.465,0.04,0.71,0.14,0.3,0.13,"9,817"
"200","Sawtelle",0.099928417,35.33651021,57710,20.7,80,0.659,0.03,0.5,0.23,0.2,0.11,"13,319"
"201","Sepulveda Basin",0.233036556,36.45183377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Shadow Hills",0.138489635,38.09866481,82796,13.3,19,0.562,0.01,0.59,0.29,0.78,0.09,"1,023"
"203","Sherman Oaks",0.163204811,35.80262868,69651,16.8,110,0.434,0.04,0.74,0.12,0.41,0.13,"6,687"
"204","Sierra Madre",0.189809087,34.79859622,88008,NA,NA,0.353,0.01,0.8,0.1,0.63,0.06,"3,563"
"205","Signal Hill",0.088341208,35.89937375,66283,NA,NA,0.737,0.11,0.36,0.29,0.46,0.25,"4,171"
