NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION
Pico-Robertson,17468.0,0.12,0.06,0.07,0.74,13.0,25.0,0.442,63356.0,0.27,0.06
Pico-Union,25352.0,0.23,0.08,0.85,0.03,32.2,144.0,0.264,26424.0,0.1,0.03
Pico-Union,25352.0,0.23,0.08,0.85,0.03,26424.0,,0.264,26424.0,0.1,0.03
Playa del Rey,3542.0,0.08,0.08,0.1,0.73,14.1,16.0,0.451,91339.0,0.47,0.04
Playa Vista,1859.0,0.06,0.21,0.35,0.32,13.3,8.0,0.722,68597.0,0.55,0.05
Pomona,6556.0,0.18,0.07,0.64,0.17,,,0.5429999999999999,54242.0,0.57,0.09
Porter Ranch,4462.0,0.04,0.27,0.08,0.61,2.0,6.0,0.551,121428.0,0.92,0.02
Quartz Hill,2475.0,0.13,0.02,0.15,0.74,2.1,2.0,0.43,77498.0,0.78,0.06
Ramona,1122.0,0.08,0.35,0.26,0.32,0.0,0.0,0.7020000000000001,86325.0,0.74,0.03
Rancho Dominguez,947.0,0.11,0.08,0.16,0.43,23.8,6.0,0.701,72097.0,0.87,0.28
Rancho Palos Verdes,3084.0,0.05,0.25,0.06,0.63,1.2,5.0,0.537,128321.0,0.82,0.02
Rancho Park,7169.0,0.1,0.18,0.16,0.58,21.9,10.0,0.598,69724.0,0.54,0.04
Redondo Beach,10129.0,0.11,0.1,0.13,0.7,,,0.474,92263.0,0.5,0.02
Reseda,10600.0,0.15,0.11,0.44,0.37,17.6,117.0,0.6559999999999999,54771.0,0.52,0.04
Ridge Route,7.0,0.13,0.05,0.2,0.7,,,0.462,92822.0,0.79,0.01
Rolling Hills,893.0,0.03,0.14,0.05,0.76,0.0,0.0,0.396,184777.0,0.91,0.02
Rolling Hills Estates,2185.0,0.05,0.2,0.06,0.7,1.2,1.0,0.469,145628.0,0.91,0.01
Rosemead,10332.0,0.12,0.49,0.41,0.08,8.8,47.0,0.589,49387.0,0.49,0.01
Rowland Heights,3604.0,0.09,0.52,0.27,0.16,3.6,17.0,0.632,72638.0,0.67,0.02
San Dimas,2244.0,0.1,0.09,0.24,0.61,4.0,14.0,0.565,84953.0,0.74,0.03
San Fernando,9856.0,0.15,0.01,0.9,0.08,,,0.192,54068.0,0.54,0.01
San Gabriel,9433.0,0.13,0.49,0.3,0.17,,,0.637,56687.0,0.48,0.01
San Marino,3428.0,0.05,0.47,0.05,0.44,,,0.584,158855.0,0.92,0.01
San Pasqual,8036.0,0.04,0.18,0.18,0.58,0.0,0.0,0.601,92917.0,0.62,0.03
San Pedro,6640.0,0.18,0.05,0.41,0.44,14.5,125.0,0.63,57508.0,0.44,0.06
Santa Clarita,2745.0,0.12,0.05,0.21,0.69,2.2,34.0,0.479,88987.0,0.73,0.02
Santa Fe Springs,2014.0,0.13,0.04,0.72,0.19,,,0.44799999999999995,60445.0,0.63,0.03
Santa Monica,9817.0,0.13,0.07,0.14,0.71,,,0.465,69013.0,0.3,0.04
Sawtelle,13319.0,0.11,0.2,0.23,0.5,12.9,50.0,0.659,57710.0,0.2,0.03
Sepulveda Basin,,,,,,,,,,,
Shadow Hills,1023.0,0.09,0.07,0.29,0.59,9.1,13.0,0.562,82796.0,0.78,0.01
Sherman Oaks,6687.0,0.13,0.06,0.12,0.74,8.7,57.0,0.434,69651.0,0.41,0.04
Sierra Madre,3563.0,0.06,0.05,0.1,0.8,,,0.353,88008.0,0.63,0.01
Signal Hill,4171.0,0.25,0.19,0.29,0.36,,,0.737,66283.0,0.46,0.11
Silver Lake,11266.0,0.16,0.18,0.42,0.34,11.2,37.0,0.6759999999999999,54339.0,0.36,0.03
South Diamond Bar,,,,,,,,,,,
Southeast Antelope Valley,27.0,0.08,0.02,0.16,0.76,1.9,1.0,0.39299999999999996,70134.0,0.82,0.02
South El Monte,7150.0,0.17,0.08,0.86,0.05,9.6,20.0,0.248,46912.0,0.5,0.0
South Gate,12945.0,0.17,0.01,0.92,0.06,,,0.147,48312.0,0.47,0.01
South Park,21638.0,0.28,0.0,0.79,0.01,59.7,196.0,0.345,29518.0,0.28,0.19
South Park,21638.0,0.28,0.0,0.79,0.01,29518.0,,0.345,29518.0,0.28,0.19
South Pasadena,7114.0,0.13,0.26,0.16,0.5,,,0.6509999999999999,76229.0,0.44,0.03
South San Gabriel,5708.0,0.16,0.41,0.48,0.08,4.9,4.0,0.59,64827.0,0.67,0.01
South San Jose Hills,13646.0,0.11,0.06,0.83,0.07,0.0,0.0,0.304,65527.0,0.79,0.02
South Whittier,10291.0,0.15,0.03,0.7,0.24,3.8,21.0,0.457,64670.0,0.65,0.01
Stevenson Ranch,2765.0,0.05,0.14,0.13,0.65,5.8,5.0,0.534,122833.0,0.84,0.02
Studio City,5395.0,0.11,0.05,0.09,0.78,13.7,51.0,0.37799999999999995,75657.0,0.44,0.04
Sunland,3825.0,0.1,0.07,0.22,0.65,14.6,24.0,0.526,68720.0,0.69,0.02
Sun Valley,8048.0,0.14,0.08,0.69,0.18,14.3,117.0,0.479,51290.0,0.54,0.02
Sun Village,917.0,0.13,0.01,0.39,0.47,1.1,1.0,0.619,56175.0,0.78,0.11
Sylmar,5579.0,0.15,0.03,0.7,0.21,14.2,113.0,0.466,65783.0,0.71,0.04
Tarzana,4038.0,0.12,0.05,0.15,0.71,21.4,81.0,0.47100000000000003,73195.0,0.59,0.04
Temple City,8366.0,0.11,0.39,0.2,0.38,3.0,10.0,0.665,65965.0,0.63,0.01
